,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
75,2017-10-23 06:15:00,63,76.6,78,46.2,64,72.1,64,62,269,63.2,4,100,0
76,2017-10-23 06:20:00,68,76.1,85,56.3,63,70.2,54,59.5,270,65.2,4,100,0
77,2017-10-23 06:25:00,63,74.8,78,62.7,77,70.3,66,61.5,284,67.2,4,100,0
78,2017-10-23 06:30:00,77,73,87,66.1,78,66.5,77,61.4,319,66.7,4,100,0
79,2017-10-23 06:35:00,80,74.3,84,66.9,82,65.7,76,62.2,322,67.3,4,100,0
80,2017-10-23 06:40:00,74,75.3,79,68.4,84,66.7,64,61.9,301,68.2,4,100,0
81,2017-10-23 06:45:00,82,69.3,114,67.8,105,67,73,62.6,374,66.9,4,100,0
82,2017-10-23 06:50:00,68,73.7,91,67.9,101,69,74,59.7,334,67.6,4,100,0
83,2017-10-23 06:55:00,63,73.6,99,67.3,97,68.5,85,59.3,344,66.8,4,100,0
84,2017-10-23 07:00:00,77,73.7,83,68.6,98,67.6,101,57.9,359,66.4,4,100,0
85,2017-10-23 07:05:00,74,70.6,80,67.5,100,66.2,79,55.2,333,64.9,4,100,0
86,2017-10-23 07:10:00,78,70.7,94,67.2,101,64.5,100,55,373,63.9,4,100,0
87,2017-10-23 07:15:00,77,71,99,66.7,118,62.9,94,53,388,63.1,4,100,0
88,2017-10-23 07:20:00,93,71.1,110,66.2,104,45.8,105,54.2,412,59.1,4,100,0
89,2017-10-23 07:25:00,90,70.7,100,66.7,97,55.5,120,55.6,407,61.6,4,100,0
90,2017-10-23 07:30:00,80,72.8,99,68.7,113,59.1,97,57.4,389,63.9,4,100,0
91,2017-10-23 07:35:00,81,72.8,99,68.7,94,62.3,102,56.4,376,64.6,4,100,0
92,2017-10-23 07:40:00,92,73.2,108,68.1,120,61.4,97,55.4,417,64.3,4,100,0
93,2017-10-23 07:45:00,91,72.7,121,67.4,97,61,100,54.1,409,63.8,4,100,0
94,2017-10-23 07:50:00,95,70.9,114,66.3,111,44.8,96,52.7,416,58.5,4,100,0
95,2017-10-23 07:55:00,92,68.7,118,66.1,113,51.6,100,52.2,423,59.5,4,100,0
96,2017-10-23 08:00:00,98,69.1,128,65.4,98,57,103,52.6,427,61.2,4,100,0
97,2017-10-23 08:05:00,73,69.5,91,66.4,99,59.2,76,52.3,339,61.8,4,100,0
98,2017-10-23 08:10:00,76,70.9,114,65.4,127,60.1,91,50.9,408,61.5,4,100,0
99,2017-10-23 08:15:00,100,69.6,117,66.1,114,55,92,37.6,423,57.7,4,100,0
100,2017-10-23 08:20:00,107,66.8,112,65.9,87,47.9,71,32,377,55.6,4,100,0
101,2017-10-23 08:25:00,58,68.6,82,66.9,78,51.5,76,37.2,294,55.5,4,100,0
102,2017-10-23 08:30:00,80,69.3,91,65.3,88,53.1,66,42.3,325,58.3,4,100,0
103,2017-10-23 08:35:00,117,66.9,133,63.7,122,49.5,84,42.2,456,56.8,4,100,0
104,2017-10-23 08:40:00,102,67.6,116,65,108,52.1,81,38.1,407,56.9,4,100,0
105,2017-10-23 08:45:00,82,66,114,64.5,104,53.1,84,39.7,384,56.3,4,100,0
106,2017-10-23 08:50:00,80,65.2,100,66.3,108,56.6,66,43.3,354,58.8,4,100,0
107,2017-10-23 08:55:00,93,66.6,102,66.1,106,58.5,94,45.6,395,59.3,4,100,0
108,2017-10-23 09:00:00,95,67.8,91,67.9,135,59.9,87,48.3,408,61.1,4,100,0
109,2017-10-23 09:05:00,67,70.4,79,69.1,96,62,83,51.3,325,62.7,4,100,0
110,2017-10-23 09:10:00,85,70,85,69,111,62.2,88,52.3,369,63.2,4,100,0
111,2017-10-23 09:15:00,89,67.3,96,69.5,101,62.9,72,54.7,358,64.1,4,100,0
112,2017-10-23 09:20:00,99,68.1,96,69.8,102,61.2,83,54.5,380,63.7,4,100,0
113,2017-10-23 09:25:00,55,68.2,92,69.9,85,58.8,71,54.1,303,62.8,4,100,0
114,2017-10-23 09:30:00,80,66.7,88,70.3,83,59.1,82,53.4,333,62.5,4,100,0
115,2017-10-23 09:35:00,81,64,93,69.6,99,60.5,76,54.4,349,62.4,4,100,0
116,2017-10-23 09:40:00,73,66.2,75,70.5,85,62.4,70,53.8,303,63.3,4,100,0
117,2017-10-23 09:45:00,49,66.7,63,70.8,72,62.5,55,54.4,239,63.7,4,100,0
118,2017-10-23 09:50:00,60,64.9,68,70.7,67,61.7,84,53.1,279,62,4,100,0
119,2017-10-23 09:55:00,79,66,80,70.5,95,64.5,64,56.6,318,64.8,4,100,0
120,2017-10-23 10:00:00,67,66.8,69,71.3,79,63.2,74,57.3,289,64.5,4,100,0
121,2017-10-23 10:05:00,84,70.1,63,71.9,92,62.1,80,59.5,319,65.5,4,100,0
122,2017-10-23 10:10:00,76,70.2,66,69.2,81,60.1,66,62.4,289,65.4,4,100,0
123,2017-10-23 10:15:00,78,75.7,67,70.8,96,62.4,69,65.4,310,68.2,4,100,0
124,2017-10-23 10:20:00,64,77.9,61,70.1,88,60.7,53,63.8,266,67.6,4,100,0
125,2017-10-23 10:25:00,66,77,51,71,78,60.8,54,63.9,249,67.9,4,100,0
126,2017-10-23 10:30:00,82,73.4,69,69.7,79,58.3,65,60.9,295,65.7,4,100,0
127,2017-10-23 10:35:00,73,73.7,60,70.7,81,58.6,60,59.9,274,65.6,4,100,0
128,2017-10-23 10:40:00,79,73.4,66,73,83,59.8,69,60.7,297,66.6,4,100,0
129,2017-10-23 10:45:00,55,73.6,57,72.2,73,60.7,68,59.4,253,65.7,4,100,0
130,2017-10-23 10:50:00,59,70.6,60,72,78,58.9,69,57,266,64,4,100,0
131,2017-10-23 10:55:00,53,76.5,39,72,69,61.4,53,60.5,214,66.8,4,100,0
132,2017-10-23 11:00:00,58,71.9,51,70.8,69,63.5,67,63.2,245,66.9,4,100,0
133,2017-10-23 11:05:00,57,73.8,45,71.1,70,62.8,51,62.6,223,67.2,4,100,0
134,2017-10-23 11:10:00,72,73.3,61,69.4,92,63.5,64,63.9,289,67.3,4,100,0
135,2017-10-23 11:15:00,64,69.7,63,70.4,62,64,61,62.2,250,66.6,4,100,0
136,2017-10-23 11:20:00,78,71.8,56,71.8,80,60.8,72,60.7,286,65.9,4,100,0
137,2017-10-23 11:25:00,76,68.7,62,71.5,82,60,63,58.8,283,64.6,4,100,0
138,2017-10-23 11:30:00,68,74.5,42,70.8,66,60.4,66,60.3,242,66.1,4,100,0
139,2017-10-23 11:35:00,66,73.5,52,70.3,59,62.4,68,61.6,245,66.8,4,100,0
140,2017-10-23 11:40:00,62,72,48,70.5,71,64.2,62,64.1,243,67.4,4,100,0
141,2017-10-23 11:45:00,80,72.1,49,70,79,64.3,59,59.7,267,66.7,4,100,0
142,2017-10-23 11:50:00,65,73.7,41,71.3,71,63.9,63,60.8,240,67,4,100,0
143,2017-10-23 11:55:00,71,75.4,58,71.3,75,64.3,51,62.9,255,68.7,4,100,0
144,2017-10-23 12:00:00,62,74.8,39,70.2,78,61,65,62.4,244,66.3,4,100,0
145,2017-10-23 12:05:00,80,66.6,52,70.7,72,59.4,52,61.6,256,64.4,4,100,0
146,2017-10-23 12:10:00,69,71.1,46,71.1,69,62.9,54,62.7,238,66.8,4,100,0
147,2017-10-23 12:15:00,67,73.6,54,71,72,60.1,70,63.8,263,66.8,4,100,0
148,2017-10-23 12:20:00,65,71.1,62,71.8,66,60.3,68,65,261,66.9,4,100,0
149,2017-10-23 12:25:00,59,70.5,41,72,59,62.2,56,63.8,215,66.8,4,100,0
150,2017-10-23 12:30:00,59,70.1,48,72.2,66,63.5,55,62.7,228,66.8,4,100,0
151,2017-10-23 12:35:00,62,68.9,56,71.6,63,62.4,67,63,248,66.3,4,100,0
152,2017-10-23 12:40:00,75,70.9,41,71.6,93,63.6,75,64.2,284,66.8,4,100,0
153,2017-10-23 12:45:00,55,70.5,33,71.3,54,66.2,60,63.8,202,67.5,4,100,0
154,2017-10-23 12:50:00,61,70.8,40,71,66,64.4,60,63.4,227,67,4,100,0
155,2017-10-23 12:55:00,71,69.6,54,70.8,81,64,66,61.2,272,66.1,4,100,0
156,2017-10-23 13:00:00,45,69.2,29,70.9,50,64.2,33,62,157,66.4,4,100,0
157,2017-10-23 13:05:00,57,70.9,39,71.2,65,68.8,50,61.3,211,68,4,100,0
158,2017-10-23 13:10:00,60,74.6,47,70.9,60,65.4,49,62.8,216,68.6,4,100,0
159,2017-10-23 13:15:00,56,72.4,36,71.4,66,64.9,54,61.9,212,67.2,4,100,0
160,2017-10-23 13:20:00,42,71,41,71.1,59,66.7,44,62.6,186,67.7,4,100,0
161,2017-10-23 13:25:00,48,73.5,25,71.3,65,69.2,68,62.5,206,68.2,4,100,0
162,2017-10-23 13:30:00,66,75.2,46,71.2,78,68.2,63,62.9,253,69.3,4,100,0
163,2017-10-23 13:35:00,73,75.4,48,71.2,69,65.9,71,61.5,261,68.3,4,100,0
164,2017-10-23 13:40:00,65,75.6,56,70.8,84,62.8,60,61.8,265,67.4,4,100,0
165,2017-10-23 13:45:00,67,76.5,53,70.8,74,64.8,50,59.7,244,68.3,4,100,0
166,2017-10-23 13:50:00,64,71.6,45,70.2,64,66.4,57,61.1,230,67.3,4,100,0
167,2017-10-23 13:55:00,58,70.2,33,71,66,63.8,61,62.6,218,66.3,4,100,0
168,2017-10-23 14:00:00,48,68.8,39,70.8,75,65.1,67,61.8,229,65.9,4,100,0
169,2017-10-23 14:05:00,55,73.4,33,71,63,65.2,43,62.2,194,67.8,4,100,0
170,2017-10-23 14:10:00,66,74.2,36,71.3,76,69.1,58,62.9,236,69.3,4,100,0
171,2017-10-23 14:15:00,65,73.4,53,69.5,73,66.1,77,61.4,268,67.2,4,100,0
172,2017-10-23 14:20:00,61,75.3,39,70.5,76,66,67,63.6,243,68.4,4,100,0
173,2017-10-23 14:25:00,55,71.2,43,70.8,61,66.2,55,61.5,214,67.2,4,100,0
174,2017-10-23 14:30:00,48,73.2,50,69.9,71,65.5,57,59.5,226,66.6,4,100,0
175,2017-10-23 14:35:00,69,71.6,43,70.2,74,66.5,59,57.6,245,66.4,4,100,0
176,2017-10-23 14:40:00,44,73.8,41,71.3,58,66.5,61,59.8,204,67,4,100,0
177,2017-10-23 14:45:00,64,73.2,42,70.8,79,68.1,69,62.5,254,68.3,4,100,0
178,2017-10-23 14:50:00,62,70.8,47,70.9,62,64.5,58,58.9,229,66.1,4,100,0
179,2017-10-23 14:55:00,74,73.2,34,71.5,65,65.4,54,61.2,227,67.9,4,100,0
180,2017-10-23 15:00:00,69,74.9,39,71.6,73,64.6,60,60.6,241,67.7,4,100,0
181,2017-10-23 15:05:00,70,75.8,31,71.1,74,62.6,73,61.6,248,67.1,4,100,0
182,2017-10-23 15:10:00,76,75.3,62,70.4,78,64.3,49,60.8,265,68.2,4,100,0
183,2017-10-23 15:15:00,76,75,40,70.7,61,63.4,57,61.5,234,68,4,100,0
184,2017-10-23 15:20:00,72,70,53,71.2,77,62.2,54,60.5,256,65.9,4,100,0
185,2017-10-23 15:25:00,66,70.5,62,71.3,79,62.4,73,59.6,280,65.5,4,100,0
186,2017-10-23 15:30:00,79,71,55,72.2,82,63.2,72,59.8,288,66.2,4,100,0
187,2017-10-23 15:35:00,66,71.4,57,70.6,82,63.9,72,61.9,277,66.5,4,100,0
188,2017-10-23 15:40:00,76,74.2,56,71.3,94,62.5,66,59.1,292,66.5,4,100,0
189,2017-10-23 15:45:00,73,73.6,57,70.2,86,62.6,70,57.6,286,65.7,4,100,0
190,2017-10-23 15:50:00,67,73.7,62,70.1,88,63.8,62,59,279,66.5,4,100,0
191,2017-10-23 15:55:00,80,75.6,60,70.3,101,62.4,83,59.5,324,66.4,4,100,0
192,2017-10-23 16:00:00,62,75.3,51,69.8,79,62.6,63,60.9,255,66.7,4,100,0
193,2017-10-23 16:05:00,62,76,38,70.4,87,65.3,63,62.5,250,68,4,100,0
194,2017-10-23 16:10:00,66,76.3,36,70.3,64,64.1,53,60.9,219,68,4,100,0
195,2017-10-23 16:15:00,52,74.5,44,70.3,87,65.1,69,62,252,67.1,4,100,0
196,2017-10-23 16:20:00,63,72.4,43,70.7,76,64.4,55,61.6,237,67,4,100,0
197,2017-10-23 16:25:00,60,73.7,52,71,99,63.4,68,62.7,279,66.9,4,100,0
198,2017-10-23 16:30:00,61,75.3,38,71.1,63,65.1,60,60.1,222,67.6,4,100,0
199,2017-10-23 16:35:00,75,75.3,52,70.7,92,62.8,60,60.3,279,67.1,4,100,0
200,2017-10-23 16:40:00,67,76.4,45,70.4,91,60.6,79,61.5,282,66.2,4,100,0
201,2017-10-23 16:45:00,61,76.8,38,70.9,90,62.9,62,61.5,251,67.1,4,100,0
202,2017-10-23 16:50:00,74,75.8,46,70.2,109,65.2,76,60.1,305,67.3,4,100,0
203,2017-10-23 16:55:00,74,73.1,53,70.5,88,63,73,60.5,288,66.3,4,100,0
204,2017-10-23 17:00:00,65,74.7,36,69.6,88,62.1,63,61,252,66.1,4,100,0
205,2017-10-23 17:05:00,75,73.1,46,70.9,91,63.2,71,62.5,283,66.9,4,100,0
206,2017-10-23 17:10:00,72,74.4,53,70.6,118,63.4,69,61.6,312,66.8,4,100,0
207,2017-10-23 17:15:00,95,74.8,60,71.8,114,63.8,60,60.1,329,67.8,4,100,0
208,2017-10-23 17:20:00,82,74,48,71.8,93,63.8,73,61,296,67.2,4,100,0
209,2017-10-23 17:25:00,66,71.4,49,69.1,102,62.5,68,60.9,285,65.3,4,100,0
210,2017-10-23 17:30:00,80,74.7,43,70.1,95,63.7,73,60.8,291,66.9,4,100,0
211,2017-10-23 17:35:00,73,75.4,47,70.6,87,63,94,61.2,301,66.6,4,100,0
212,2017-10-23 17:40:00,78,76.2,48,68.7,84,62.9,84,59.8,294,66.5,4,100,0
213,2017-10-23 17:45:00,75,75.7,60,70.7,99,62.7,56,60.8,290,67.4,4,100,0
214,2017-10-23 17:50:00,78,76.8,48,70.2,94,63.5,65,61.2,285,67.7,4,100,0
215,2017-10-23 17:55:00,69,74.9,49,70.8,81,65.8,52,61.8,251,68.4,4,100,0
216,2017-10-23 18:00:00,58,74.4,39,69.6,69,64.2,56,62.1,222,67.3,4,100,0
217,2017-10-23 18:05:00,66,71.5,45,70.2,73,63.4,64,62,248,66.4,4,100,0
218,2017-10-23 18:10:00,62,73.7,49,69.5,88,64.8,73,62.6,272,67.1,4,100,0
219,2017-10-23 18:15:00,68,71.4,56,69.1,85,65.8,66,62.7,275,67.1,4,100,0
220,2017-10-23 18:20:00,75,69.7,51,69.4,81,66,65,60.4,272,66.3,4,100,0
221,2017-10-23 18:25:00,74,67.3,56,69.5,90,66.3,66,60.6,286,65.9,4,100,0
222,2017-10-23 18:30:00,68,71.6,50,71.3,78,65.6,69,63,265,67.5,4,100,0
223,2017-10-23 18:35:00,63,74.6,40,71.2,89,67.6,56,63.1,248,68.9,4,100,0
224,2017-10-23 18:40:00,68,70,45,70.4,88,65.9,62,61,263,66.6,4,100,0
225,2017-10-23 18:45:00,68,71.3,40,70.4,75,66.9,62,62.5,245,67.6,4,100,0
226,2017-10-23 18:50:00,61,70.4,36,69.8,78,64.5,45,61.4,220,66.4,4,100,0
227,2017-10-23 18:55:00,69,71.2,37,70.5,99,65.8,60,62,265,67,4,100,0
228,2017-10-23 19:00:00,55,72.3,35,71.3,75,65.5,52,60.8,217,67,4,100,0
229,2017-10-23 19:05:00,47,73.4,34,71.9,60,67.2,49,60.5,190,67.8,4,100,0
230,2017-10-23 19:10:00,50,73.7,24,71.7,53,65.7,41,59.5,168,67.4,4,100,0
231,2017-10-23 19:15:00,56,72.1,43,71.2,67,68.6,44,60.3,210,68.3,4,100,0
232,2017-10-23 19:20:00,52,73.9,27,71.4,61,68.4,45,63.1,185,69.1,4,100,0
233,2017-10-23 19:25:00,50,71.4,34,71,46,68.7,38,61.7,168,68.4,4,100,0
234,2017-10-23 19:30:00,49,71.9,29,71.2,55,68.9,28,62.8,161,69.2,4,100,0
235,2017-10-23 19:35:00,52,71.1,26,71,67,67.7,31,63.5,176,68.5,4,100,0
236,2017-10-23 19:40:00,45,71.9,24,70.9,59,67.1,31,64.3,159,68.5,4,100,0
237,2017-10-23 19:45:00,45,73.4,26,70.4,38,68.5,30,64,139,69.5,4,100,0
238,2017-10-23 19:50:00,46,74,22,70.7,49,70.2,29,63.4,146,70.1,4,100,0
239,2017-10-23 19:55:00,39,75.3,23,71,39,69.7,22,61.9,123,70.3,4,100,0
240,2017-10-23 20:00:00,42,73.4,19,70.8,38,67.3,29,62.5,128,68.7,4,100,0
241,2017-10-23 20:05:00,37,73.8,19,70.9,36,67.7,33,62.3,125,68.6,4,100,0
242,2017-10-23 20:10:00,42,73.9,31,70.7,61,69.5,42,63.3,176,69.3,4,100,0
243,2017-10-23 20:15:00,43,73.9,24,70.1,58,63.9,34,63.5,159,67.5,4,100,0
244,2017-10-23 20:20:00,42,74.4,22,70.4,42,66.9,34,63.6,140,68.9,4,100,0
245,2017-10-23 20:25:00,41,74.1,23,70.7,36,67.8,28,62.8,128,69.2,4,100,0
246,2017-10-23 20:30:00,43,73.3,11,70.9,49,66.8,27,62.6,130,68.4,4,100,0
247,2017-10-23 20:35:00,33,74.4,20,70.6,50,66.8,36,63,139,68.2,4,100,0
248,2017-10-23 20:40:00,44,74.7,22,70.8,45,69.1,36,63.5,147,69.7,4,100,0
249,2017-10-23 20:45:00,36,74.9,21,71,54,69.9,24,63.6,135,70.3,4,100,0
250,2017-10-23 20:50:00,39,75.7,12,71.1,31,69.2,26,63.4,108,70.4,4,100,0
251,2017-10-23 20:55:00,37,73.9,25,71.3,35,69.2,32,62.6,129,69.3,4,100,0
252,2017-10-23 21:00:00,41,74.1,18,71.1,42,68.5,27,62.4,128,69.4,4,100,0
253,2017-10-23 21:05:00,46,74.8,23,71,49,68,31,62.6,149,69.4,4,100,0
254,2017-10-23 21:10:00,42,75.4,20,71.1,46,67.7,23,62.7,131,69.8,4,100,0
255,2017-10-23 21:15:00,44,74,20,71.2,36,66.1,29,61.9,129,68.6,4,100,0
256,2017-10-23 21:20:00,43,74.6,16,71.1,43,65,24,62.8,126,68.6,4,100,0
257,2017-10-23 21:25:00,35,74.7,16,71,36,65,28,61.3,115,67.9,4,100,0
258,2017-10-23 21:30:00,36,75.3,17,71.2,37,66.5,28,62,118,68.8,4,100,0
259,2017-10-23 21:35:00,35,75.1,19,71.1,37,67.9,17,62.5,108,69.9,4,100,0
260,2017-10-23 21:40:00,23,75.3,15,71.2,36,69.1,34,62.6,108,68.7,4,100,0
261,2017-10-23 21:45:00,39,75.1,15,71.1,46,68.9,33,61.5,133,69.1,4,100,0
262,2017-10-23 21:50:00,21,75,11,71,31,68.6,21,61.9,84,68.8,4,100,0
263,2017-10-23 21:55:00,23,75.1,10,71,37,68.1,22,62.3,92,68.8,4,100,0
264,2017-10-23 22:00:00,36,75.2,8,71.1,29,67.8,20,62.6,93,69.8,4,100,0
265,2017-10-23 22:05:00,25,74.7,19,71,23,67.5,22,62.6,89,69.1,4,100,0
266,2017-10-23 22:10:00,25,74.7,10,70.9,30,67.4,15,62.7,80,69.2,4,100,0
267,2017-10-23 22:15:00,32,72.1,13,70.9,32,65.6,24,62.6,101,67.6,4,100,0
268,2017-10-23 22:20:00,29,73.6,16,70.9,39,66.8,21,62.9,105,68.5,4,100,0
269,2017-10-23 22:25:00,17,74.2,4,71,22,66.5,16,62.9,59,68,4,100,0
270,2017-10-23 22:30:00,28,74.4,8,71.1,33,63.5,22,63,91,67.4,4,100,0
271,2017-10-23 22:35:00,20,74.7,6,70.9,18,65.5,20,62.7,64,68,4,100,0
